OrgType,OrgCode,OrgName,Measure,InitialCaseness,VariableType,VariableA,VariableB,Count_FinishedCourseTreatmentByInitialCasenessStatus,Count_FinishedCourseTreatmentPairedWSAS,Mean_Start,SD_Start,Mean_End,SD_End,EffectSize
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Hypochondriacal disorders,1275,NULL,14.1,4.6,6.8,5.4,1.6
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Mixed anxiety and depressive disorder,1810,NULL,14.4,4.2,8.9,5.6,1.3
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Obsessive-compulsive disorder,2690,NULL,14.2,4.7,8.5,5.6,1.3
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Other anxiety or stress related disorder,6955,NULL,13.9,4.3,8.1,5.5,1.3
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Panic disorder [episodic paroxysmal anxiety],2220,NULL,14.2,4.7,8.5,6,1.3
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Post-traumatic stress disorder,5745,NULL,15.4,4.5,10.6,6.2,1.1
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Social phobias,2950,NULL,12.6,4.9,7.2,5.4,1.2
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Anxiety and stress related disorders,Specific (isolated) phobias,600,NULL,13.6,4.1,6.6,5.1,1.7
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Body dysmorphic disorder,140,NULL,13.2,4.5,8,5.5,1.2
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Chronic fatigue syndrome,5,NULL,13.7,6.7,11.5,4.9,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,Irritable bowel syndrome,15,NULL,10.7,4.3,8.9,5.2,0.4
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Medically Unexplained Symptoms,MUS not otherwise specified,*,NULL,*,*,*,*,*
Commissioning Region,Y56,LONDON COMMISSIONING REGION,GAD7,AtCaseness,Presenting Complaint,Other Mental Health problems,Other,475,NULL,13,4.9,8.3,5.8,1
