ReportingPeriodStartDate,ReportingPeriodEndDate,OrgCode,MeasureID,MeasureName,Valid_Suppressed,Default_Suppressed,Invalid_Suppressed,Missing_Suppressed,Denominator_Suppressed
01/04/2022,31/03/2023,AJA,IDQ02,Age At Start Of Reporting Period,5600,*,*,*,5600
01/04/2022,31/03/2023,AJA,IDQ03,Postcode District,5590,*,*,10,5600
01/04/2022,31/03/2023,AJA,IDQ04,Gender,5600,*,*,*,5600
01/04/2022,31/03/2023,AJA,IDQ05,Ethnic Category,5500,100,*,*,5600
01/04/2022,31/03/2023,AJA,IDQ06,Ex-British Armed Forces Indicator,4435,*,*,1165,5600
01/04/2022,31/03/2023,AJA,IDQ08,Disability Code,5905,*,*,*,5905
01/04/2022,31/03/2023,AJA,IDQ09,Sexual Orientation Code,4690,*,*,930,5620
01/04/2022,31/03/2023,AJA,IDQ10,Religion Code,4590,*,*,1030,5620
01/04/2022,31/03/2023,AJA,IDQ11,Referral Received Date,5585,*,*,*,5585
01/04/2022,31/03/2023,AJA,IDQ12,Referral Discharge Date,4215,*,*,1370,5585
01/04/2022,31/03/2023,AJA,IDQ13,Referral Discharge Reason,4215,*,*,*,4215
01/04/2022,31/03/2023,AJA,IDQ16,Organisation Identifier (Code of Commissioner),5585,*,*,*,5585
01/04/2022,31/03/2023,AJA,IDQ17,Consultation Medium Used,20360,*,605,*,20965
01/04/2022,31/03/2023,AJA,IDQ18,Care Contact Therapy Mode,20965,*,*,*,20965
01/04/2022,31/03/2023,AJA,IDQ19,Psychotropic Medication Usage Indicator Code,20650,50,*,265,20965
01/04/2022,31/03/2023,AJA,IDQ20,Internet Enabled Therapy Programme,*,*,*,20965,20965
01/04/2022,31/03/2023,AJA,IDQ21,Long Term Condition Flag,20965,*,*,*,20965
01/04/2022,31/03/2023,AJA,IDQ22,Care Activity Therapy Type,24000,*,*,*,24000
01/04/2022,31/03/2023,AJA,IDQ26,Adult Mental Health Care Cluster,1750,*,*,3840,5585
01/04/2022,31/03/2023,AJA,IDQ31,Assessment of Initial Caseness,2630,*,*,*,2630
01/04/2022,31/03/2023,AJA,IDQ32,Paired Score Completeness,2630,*,*,*,2630
01/04/2022,31/03/2023,AJA,IDQ33,ADSM Completeness,345,*,*,*,2630
01/04/2022,31/03/2023,AJA,IDQ38,Validity of Treatment Questionnaire Date,2050,*,20,*,2075
01/04/2022,31/03/2023,AJA,IDQ39,Validity of Treatment Questionnaire Date (Closed Referrals),1940,*,95,*,2035
01/04/2022,31/03/2023,AJA,IDQ40,Validity of Treatment Questionnaire Question 1 Score,335,*,*,*,335
01/04/2022,31/03/2023,AJA,IDQ41,Validity of Treatment Questionnaire Question 2 Score,335,*,*,*,335
01/04/2022,31/03/2023,AJA,IDQ42,Validity of Treatment Questionnaire Question 3 Score,335,*,*,*,335
01/04/2022,31/03/2023,AJA,IDQ43,Validity of Treatment Questionnaire Question 4 Score,335,*,*,*,335
01/04/2022,31/03/2023,AJA,IDQ44,Validity of Treatment Questionnaire Question 5 Score,335,*,*,*,335
01/04/2022,31/03/2023,AJA,IDQ45,Validity of Treatment Questionnaire Question 6 Score,140,*,*,*,140
01/04/2022,31/03/2023,AJA,IDQ46,Validity of All PEQ Treatment Fields,335,*,*,*,335
01/04/2022,31/03/2023,AJA,IDQ47,Validity of Assessment Questionnaire Date,450,*,*,*,450
01/04/2022,31/03/2023,AJA,IDQ48,Validity of Assessment Questionnaire Date (Closed Referrals),150,*,155,*,305
01/04/2022,31/03/2023,AJA,IDQ49,Validity of Assessment 1 Field,220,*,*,*,220
01/04/2022,31/03/2023,AJA,IDQ50,Validity of Assessment 2 Field,220,*,*,*,220
01/04/2022,31/03/2023,AJA,IDQ51,Validity of Assessment 3 Field,220,*,*,*,220
01/04/2022,31/03/2023,AJA,IDQ52,Validity of Assessment 4 Field,220,*,*,*,220
01/04/2022,31/03/2023,AJA,IDQ53,Validity of Satisfaction Question 1 Score,220,*,*,*,220
01/04/2022,31/03/2023,AKR01,IDQ01,NHS Number Status,3185,*,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ02,Age At Start Of Reporting Period,3185,*,*,*,3185
01/04/2022,31/03/2023,AKR01,IDQ03,Postcode District,3185,*,*,*,3185
